INFO:root:Using Tensorboard, logs will be saved in ./fire/logs
INFO:root:Creating model...
INFO:root:Setting up data...
INFO:root:loading annotations into memory...
INFO:root:Found 2343 annotation files.
INFO:root:Load 2343 xml files and 2986 boxes
INFO:root:Done (t=708.87s)
INFO:root:loading annotations into memory...
INFO:root:Found 618 annotation files.
INFO:root:Load 618 xml files and 774 boxes
INFO:root:Done (t=185.40s)
INFO:root:Training batch size: 80
INFO:root:Starting training...
INFO:root:Start warming up...
INFO:root:warmup|Iter(1/300)| lr:1.44e-02| loss_qfl:0.6970| loss_bbox:1.0764| loss_dfl:0.5191| 
INFO:root:warmup|Iter(11/300)| lr:1.86e-02| loss_qfl:0.5953| loss_bbox:0.9656| loss_dfl:0.5058| 
INFO:root:warmup|Iter(21/300)| lr:2.28e-02| loss_qfl:0.2940| loss_bbox:0.9199| loss_dfl:0.4444| 
INFO:root:warmup|Iter(30/300)| lr:2.66e-02| loss_qfl:0.2576| loss_bbox:0.8829| loss_dfl:0.4099| 
INFO:root:warmup|Iter(40/300)| lr:3.08e-02| loss_qfl:0.2384| loss_bbox:0.8484| loss_dfl:0.3912| 
INFO:root:warmup|Iter(50/300)| lr:3.50e-02| loss_qfl:0.2488| loss_bbox:0.7948| loss_dfl:0.3726| 
INFO:root:warmup|Iter(59/300)| lr:3.88e-02| loss_qfl:0.2487| loss_bbox:0.7602| loss_dfl:0.3593| 
INFO:root:warmup|Iter(69/300)| lr:4.30e-02| loss_qfl:0.2571| loss_bbox:0.7096| loss_dfl:0.3471| 
INFO:root:warmup|Iter(79/300)| lr:4.72e-02| loss_qfl:0.2796| loss_bbox:0.7024| loss_dfl:0.3436| 
INFO:root:warmup|Iter(88/300)| lr:5.10e-02| loss_qfl:0.2910| loss_bbox:0.6820| loss_dfl:0.3359| 
INFO:root:warmup|Iter(98/300)| lr:5.52e-02| loss_qfl:0.2836| loss_bbox:0.6644| loss_dfl:0.3303| 
INFO:root:warmup|Iter(108/300)| lr:5.94e-02| loss_qfl:0.2717| loss_bbox:0.6356| loss_dfl:0.3219| 
INFO:root:warmup|Iter(117/300)| lr:6.31e-02| loss_qfl:0.2937| loss_bbox:0.6087| loss_dfl:0.3153| 
INFO:root:warmup|Iter(127/300)| lr:6.73e-02| loss_qfl:0.2863| loss_bbox:0.6096| loss_dfl:0.3138| 
INFO:root:warmup|Iter(137/300)| lr:7.15e-02| loss_qfl:0.2864| loss_bbox:0.6097| loss_dfl:0.3095| 
